"Tabela 6579 - População residente estimada","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Variável - População residente estimada (Pessoas)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ano","Unidade da Federação","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Rondônia","Acre","Amazonas","Roraima","Pará","Amapá","Tocantins","Maranhão","Piauí","Ceará","Rio Grande do Norte","Paraíba","Pernambuco","Alagoas","Sergipe","Bahia","Minas Gerais","Espírito Santo","Rio de Janeiro","São Paulo","Paraná","Santa Catarina","Rio Grande do Sul","Mato Grosso do Sul","Mato Grosso","Goiás","Distrito Federal"
"2008","1493565","680075","3341094","412783","7321490","613166","1280513","6305537","3111881","8450528","3106436","3742604","8734196","3127560","1999374","14502563","19850060","3453646","15872362","41011638","10590171","6052587","10855228","2336060","2957735","5844995","2557159"
"2009","1503928","691132","3393369","421499","7431020","626609","1292051","6367138","3145325","8547809","3137541","3769977","8810256","3156108","2019679","14637364","20033665","3487199","16010429","41384039","10686247","6118743","10914128","2360498","3001692","5926300","2606885"
"2011","1576455","746386","3538387","460165","7688593","684309","1400892","6645761","3140328","8530155","3198657","3791315","8864906","3143384","2089819","14097534","19728701","3547055","16112678","41587182","10512349","6317054","10733030","2477542","3075936","6080716","2609998"
"2012","1590011","758786","3590985","469524","7777543","698602","1417694","6714314","3160748","8606005","3228198","3815171","8931028","3165472","2110867","14175341","19855332","3578067","16231365","41901219","10577755","6362734","10768025","2500365","3115336","6154996","2648532"
"2013","1728214","776463","3807921","488072","7969654","734996","1478164","6794301","3184166","8778576","3373959","3914421","9208550","3300935","2195662","15044137","20593356","3839366","16369179","43663669","10997465","6634254","11164043","2587269","3182113","6434048","2789761"
"2014","1748531","790101","3873743","496936","8073924","750912","1496880","6850884","3194718","8842791","3408510","3943885","9277727","3321730","2219574","15126371","20734097","3885049","16461173","44035304","11081692","6727148","11207274","2619657","3224357","6523222","2852372"
"2015","1768204","803513","3938336","505665","8175113","766679","1515126","6904241","3204028","8904459","3442175","3972202","9345173","3340932","2242937","15203334","20869101","3929911","16550024","44396484","11163018","6819190","11247972","2651235","3265486","6610681","2914830"
"2016","1787279","816687","4001667","514229","8272724","782295","1532902","6954036","3212180","8963663","3474998","3999415","9410336","3358963","2265779","15276566","20997560","3973697","16635996","44749699","11242720","6910553","11286500","2682386","3305531","6695855","2977216"
"2017","1805788","829619","4063614","522636","8366628","797722","1550194","7000229","3219257","9020460","3507003","4025558","9473266","3375823","2288116","15344447","21119536","4016356","16718956","45094866","11320892","7001161","11322895","2713147","3344544","6778772","3039444"
"2018","1757589","869265","4080611","576568","8513497","829494","1555229","7035055","3264531","9075649","3479010","3996496","9496294","3322820","2278308","14812617","21040662","3972388","17159960","45538936","11348937","7075494","11329605","2748023","3441998","6921161","2974703"
"2019","1777225","881935","4144597","605761","8602865","845731","1572866","7075181","3273227","9132078","3506853","4018127","9557071","3337357","2298696","14873064","21168791","4018650","17264943","45919049","11433957","7164788","11377239","2778986","3484466","7018354","3015268"
"2020","1796460","894470","4207714","631181","8690745","861773","1590248","7114598","3281480","9187103","3534165","4039277","9616621","3351543","2318822","14930634","21292666","4064052","17366189","46289333","11516840","7252502","11422973","2809394","3526220","7113540","3055149"
"Fonte: IBGE - Estimativas de População","","","","","","","","","","","","","","","","","","","","","","","","","","",""
